"Username","DisplayName","Email","Department","JobTitle","Enabled","LockedOut","PasswordExpired","PasswordNeverExpires","LastLogon","DaysSinceLogin","Inactive","PasswordLastSet","AccountCreated","Groups"
"sue","Sue",,,,"True","False","False","False","2026-04-03","8","False","2026-04-03","2026-04-03","Personal, HR, All_Staff, IT_Support, Remote Desktop Users"
"paula","Paula",,,,"True","False","True","False","Never","Never","False","Never","2026-04-03","Personal, All_Staff, IT_Support"
"dave","Dave",,,,"True","False","False","False","2026-04-03","8","False","2026-04-03","2026-04-03","Personal, All_Staff"
"helpdesk","helpdesk",,,,"True","False","False","False","2026-04-03","8","False","2026-04-03","2026-04-03",""
"Administrator",,,,,"True","False","False","True","2026-04-03","8","False","2026-04-03","2026-04-03","Group Policy Creator Owners, Domain Admins, Enterprise Admins, Schema Admins, Administrators"
"Guest",,,,,"False","False","False","True","Never","Never","False","Never","2026-04-03","Guests"
"krbtgt",,,,,"False","False","False","False","Never","Never","False","2026-04-03","2026-04-03","Denied RODC Password Replication Group"
"john","John Doe",,,,"True","False","False","False","2026-04-04","8","False","2026-04-04","2026-04-04","Personal, All_Staff"
"cbrown","Carol Brown","cbrown@InfoTech.com","Finance","Finance Analyst","True","False","True","False","Never","Never","False","Never","2026-04-10","Finance, Personal, All_Staff"
"mdonald","Mandy Donald","mdonald@InfoTech.com","Finance","Operator","True","False","True","False","Never","Never","False","Never","2026-04-10","Finance, Personal, All_Staff"
"jdonald","Johnny Donald","jdonald@InfoTech.com","Finance","Operator","False","False","True","False","Never","Never","False","Never","2026-04-10",""
"jmerch","Jessy Merch","jmerch@InfoTech.com","Finance","Account Manager","True","False","False","False","2026-04-12","0","False","2026-04-12","2026-04-08","Finance, Personal, All_Staff"
"tuser","Test User","tuser@InfoTech.com","HR","Tester","False","False","True","False","Never","Never","False","Never","2026-04-10",""
"bwilliams","Bob Williams","bwilliams@InfoTech.com","HR","HR Coordinator","True","False","True","False","Never","Never","False","Never","2026-04-10","Personal, HR, All_Staff"
"ajohnson","Alice Johnson","ajohnson@InfoTech.com","IT","Junior Sysadmin","True","False","True","False","Never","Never","False","Never","2026-04-10","Personal, All_Staff, IT_Support"
"jsmith","Jane Smith","jsmith@InfoTech.com","IT","Sys Admin","True","False","True","False","Never","Never","False","Never","2026-04-08","Personal, All_Staff, IT_Support"
"dtaylor","Derek Taylor","dtaylor@InfoTech.com","IT","Support Technician","True","False","True","False","Never","Never","False","Never","2026-04-10","Personal, All_Staff, IT_Support"
"pdonald","Pandy Donald","pdonald@InfoTech.com","Operations","Operator","True","False","True","False","Never","Never","False","Never","2026-04-10","Operations, Personal, All_Staff"
"sdonald","Sandy Donald","sdonald@InfoTech.com","Operations","Operator","True","False","True","False","Never","Never","False","Never","2026-04-10","Operations, Personal, All_Staff"
"tdonald","Trump Donald","tdonald@InfoTech.com","Operations","Operator","True","False","True","False","Never","Never","False","Never","2026-04-10","Operations, Personal, All_Staff"
"ldonald","Landy Donald","ldonald@InfoTech.com","Operations","Operator","True","False","True","False","Never","Never","False","Never","2026-04-10","Operations, Personal, All_Staff"
"emartinez","Eva Martinez","emartinez@InfoTech.com","Operations","Ops Coordinator","True","False","True","False","Never","Never","False","Never","2026-04-10","Operations, Personal, All_Staff"
